velivolo ;N_motori;seats;W_MTO;W_OE;W_f;W_p;thrust;tot_thrust;Sw ;b
airbus_A220_100;2;127;63100;35220;17444;15100;96;192;112.3;35.1
FOKKER_100;2;122;45810;24541;10692;11993;67;134;93.5;28.08
ANTONOV_AN148_100E;2;85;43700;22000;12050;9000;63;126;87.32;28.91
COMAC_C909_STD;2;78;40500;24955;10386;8935;75.87;151.74;79.86;27.28
EMBRAER_EJET_190_E2;2;114;56400;33000;13690;13500;93.5;187;103;33.72
SUKHOI_SUPERJET100_95LR;2;108;49450;25100;12644;12245;71.6;143.2;83.8;27.8
BOEING_717_200HGW;2;134;54884;31071;13332;14515;93;186;92.97;24.4
BOMBARDIER_CRJ700;2;78;34019;20069;8888;8190;56.4;112.8;70.6;23.2
YAVKOLEV_YAK42;3;120;57500;32460;15877;14500;63.74;191.22;150;34.88
BA_E146_200RJ85;4;100;42184;24600;8561;11233;31;124;77.3;26.34
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
